"testId","testType","username","email","password","fullName","oldPassword","newPassword","confirmPassword","ExpectedResult","expectedStatus","expectedMessage"
"L-019","LOGIN","hai 123","","123456","","","","","Username containing internal space is rejected","400","Invalid username or password"
"R-001","REGISTER","r001_user","r001_success@gmail.com","Password@1","New User","","","","Valid register succeeds with strong password and returns token","200","token"
"R-002","REGISTER","","r002_empty_user@gmail.com","Password@1","User Name","","","","Username is empty","400","username"
"R-003","REGISTER","r003_user","","Password@1","User Name","","","","Email is empty","400","email"
"R-004","REGISTER","r004_user","r004_empty_pass@gmail.com","","User Name","","","","Password is empty","400","password"
"R-005","REGISTER","","","","","","","","All required register fields are empty","400","validation"
"R-006","REGISTER","ab","r006_short_user@gmail.com","Password@1","User","","","","Username length 2 is rejected","400","3-50"
"R-007","REGISTER","u07","r007_abc@gmail.com","Password@1","ABC User","","","","Username length 3 is accepted","200","token"
"R-008","REGISTER","abcdefghijklmnopqrstuvwxyz0123456789012345678901234","r008_long_user@gmail.com","Password@1","Long","","","","Username length 51 is rejected","400","3-50"
"R-009","REGISTER","abcdefghijklmnopqrstuvwxyz012345678901234567890123","r009_max_user@gmail.com","Password@1","Max User","","","","Username length 50 is accepted","200","token"
"R-010","REGISTER","r010_user","invalidgmail","Password@1","User","","","","Invalid email without @ is rejected","400","email"
"R-011","REGISTER","r011_user","newuser.gmail.com","Password@1","User","","","","Invalid email without @ separator is rejected","400","email"
"R-012","REGISTER","hai123","r012_taken_user@gmail.com","Password@1","Another User","","","","Duplicate username is rejected","400","Username is already taken"
"R-013","REGISTER","r013_user","r001_success@gmail.com","Password@1","User","","","","Duplicate email is rejected","400","email"
"R-014","REGISTER","r014_user","r014_short_pass@gmail.com","Pass@1","User","","","","Password length below 8 is rejected","400","password"
"R-015","REGISTER","r015_user","r015_valid@gmail.com","Pass@123","User","","","","Password length 8 with all required character groups is accepted","200","token"
"R-016","REGISTER","r016_user","r016_long_pass@gmail.com","Password@12345678901234567890123456789012345678901234567890123456789012345","User","","","","Password longer than 64 characters is rejected","400","password"
"R-017","REGISTER","r017_user","r017_whitespace@gmail.com ","Password@1","User","","","","Email with leading/trailing spaces is rejected","400","email"
"R-018","REGISTER","r018_trim_user ","r018_trim_user@gmail.com","Password@1","User","","","","Username with leading/trailing spaces is rejected","400","username"
"R-019","REGISTER","r019_spec_user@123","r019_spec_user@gmail.com","Password@1","User","","","","Special-character username is rejected if BE validates username characters","400","username"
"R-020","REGISTER","r020_weak_no_upper","r020_weak_no_upper@gmail.com","password@1","Weak Password User","","","","Password without uppercase letter is rejected","400","password"
"R-021","REGISTER","r021_weak_no_lower","r021_weak_no_lower@gmail.com","PASSWORD@1","Weak Password User","","","","Password without lowercase letter is rejected","400","password"
"R-022","REGISTER","r022_weak_no_digit","r022_weak_no_digit@gmail.com","Password@","Weak Password User","","","","Password without digit is rejected","400","password"
"R-023","REGISTER","r023_weak_no_special","r023_weak_no_special@gmail.com","Password1","Weak Password User","","","","Password without special character is rejected","400","password"
"C-001","CHANGE_PWD","","","","","Oldpass@1","Password@1","Password@1","Valid change password succeeds with strong password","200","thanh cong"
"C-002","CHANGE_PWD","","","","","","Password@1","Password@1","Old password is empty","400","old"
"C-003","CHANGE_PWD","","","","","Oldpass@1","","","New password is empty","400","new"
"C-004","CHANGE_PWD","","","","","Oldpass@1","Password@1","","Confirm password is empty","400","confirm"
"C-005","CHANGE_PWD","","","","","wrongpass","Password@1","Password@1","Old password is wrong","400","old"
"C-006","CHANGE_PWD","","","","","Oldpass@1","Pass@1","Pass@1","New password length below 8 is rejected","400","password"
"C-007","CHANGE_PWD","","","","","Oldpass@1","Pass@123","Pass@123","New password length 8 with all required character groups is accepted","200","thanh cong"
"C-008","CHANGE_PWD","","","","","Oldpass@1","Password@12345678901234567890123456789012345678901234567890123456789012345","Password@12345678901234567890123456789012345678901234567890123456789012345","New password longer than 64 characters is rejected","400","password"
"C-009","CHANGE_PWD","","","","","Oldpass@1","Password@1","Password@2","Confirm password does not match","400","match"
"C-010","CHANGE_PWD","","","","","Oldpass@1","Oldpass@1","Oldpass@1","New password same as old password is rejected","400","same"
"C-011","CHANGE_PWD","","","",""," Oldpass@1 ","Password@1","Password@1","Old password with leading/trailing spaces is rejected","400","old"
"C-012","CHANGE_PWD","","","","","Oldpass@1"," Password@1 "," Password@1 ","New password with leading/trailing spaces is rejected","400","validation"
"C-013","CHANGE_PWD","","","","","Oldpass@1","password@1","password@1","New password without uppercase letter is rejected","400","password"
"C-014","CHANGE_PWD","","","","","Oldpass@1","PASSWORD@1","PASSWORD@1","New password without lowercase letter is rejected","400","password"
"C-015","CHANGE_PWD","","","","","Oldpass@1","Password@","Password@","New password without digit is rejected","400","password"
"C-016","CHANGE_PWD","","","","","Oldpass@1","Password1","Password1","New password without special character is rejected","400","password"
"G-001","GOOGLE_LOGIN","Google New User","g001_new_google@gmail.com","","","","","","Valid Google profile auto-creates or logs in user","200","token"
"G-002","GOOGLE_LOGIN","Google Existing User","g002_exist_google@gmail.com","","","","","","Valid Google profile for existing email logs in","200","token"
"G-003","GOOGLE_LOGIN","Google Missing Email","","","","","","","Google name provided but email is empty","400","email"
"G-004","GOOGLE_LOGIN","","g004_empty_name@gmail.com","","","","","","Google email provided but name is empty","400","name"
"G-005","GOOGLE_LOGIN","","","","","","","","Google name and email are empty","400","validation"
"G-006","GOOGLE_LOGIN","Google Invalid Email","notanemail","","","","","","Invalid Google email is rejected","400","email"
"G-007","GOOGLE_LOGIN","Google Long Email","verylongemailaddress12345678901234567890@verylongemailaddressdomain.com","","","","","","Long valid Google email is accepted","200","token"
"G-008","GOOGLE_LOGIN","A","g008_short_email@gmail.com","","","","","","Google name length 1 is accepted if BE has no min name rule","200","token"
"G-009","GOOGLE_LOGIN","This is a very long name with many characters that might exceed normal expectations in a real scenario","g009_long_name@gmail.com","","","","","","Very long Google name is rejected if BE has max name rule","400","validation"
"G-010","GOOGLE_LOGIN","Google Plus Email","g010_plus_notation+tag@gmail.com","","","","","","Google email plus notation is accepted","200","token"
"G-011","GOOGLE_LOGIN","Google Whitespace Email","g011_whitespace@gmail.com ","","","","","","Google email with leading/trailing spaces is rejected","400","email"
"G-012","GOOGLE_LOGIN","User @#$%^&","g012_special_chars_name@gmail.com","","","","","","Google name with special characters is accepted if BE allows display names","200","token"
"G-013","GOOGLE_LOGIN","Google Url Picture","g013_url_test@gmail.com","","","","","","Google login succeeds when picture is omitted","200","token"
"G-014","GOOGLE_LOGIN","Google Optional Field","g014_optional_field@gmail.com","","","","","","Google login succeeds with only required profile fields","200","token"
"G-015","GOOGLE_LOGIN","Google Disabled User","g015_disabled_user@gmail.com","","","","","","Disabled account behavior check; should fail only if BE implements disabled status","200","token"
"G-016","GOOGLE_LOGIN","Google Trim Name ","g016_trim_name@gmail.com","","","","","","Google name with leading/trailing spaces is accepted or normalized","200","token"
"G-017","GOOGLE_LOGIN","Google Internal Space Name","g017_space_name@gmail.com","","","","","","Google display name with internal spaces is accepted or normalized","200","token"
"G-018","GOOGLE_LOGIN","Google Existing User Updated","g002_exist_google@gmail.com","","","","","","Repeated Google login with same email does not create duplicate user","200","token"
