testId,testType,testCase,technique,fullName,phone,shippingAddress,address,note,itemsJson,paymentMethod,orderId,setupOrder,omitFields,expectedStatus,expectedSuccess,expectedPaymentStatus,expectedOrderStatus,expectedMessage,ExpectedResult
O-012,ORDER_CREATE,Quantity equals 0,BVA,Nguyễn Văn C,0901234567,"123 Đường ABC, TP.HCM",hcm,Quantity zero,"[{""productId"":10,""quantity"":0}]",COD,,false,,400,false,,,quantity,Từ chối quantity bằng 0
O-013,ORDER_CREATE,Quantity equals 1,BVA,Nguyễn Văn C,0901234567,"123 Đường ABC, TP.HCM",hcm,Quantity minimum,"[{""productId"":10,""quantity"":1}]",COD,,false,,200,true,,,orderId,Chấp nhận quantity bằng 1
O-014,ORDER_CREATE,Quantity equals 2,BVA,Nguyễn Văn C,0901234567,"123 Đường ABC, TP.HCM",hcm,Quantity just above minimum,"[{""productId"":10,""quantity"":2}]",COD,,false,,200,true,,,orderId,Chấp nhận quantity bằng 2
O-015,ORDER_CREATE,Reject negative quantity,EP,Nguyễn Văn C,0901234567,"123 Đường ABC, TP.HCM",hcm,Negative quantity,"[{""productId"":10,""quantity"":-1}]",COD,,false,,400,false,,,quantity,Từ chối quantity âm
O-016,ORDER_CREATE,Reject unknown product,EP,Nguyễn Văn C,0901234567,"123 Đường ABC, TP.HCM",hcm,Unknown product,"[{""productId"":999999,""quantity"":1}]",COD,,false,,400,false,,,product,Từ chối productId không tồn tại
P-001,PAYMENT_CREATE,Create COD payment,EP_DECISION_TABLE,Nguyễn Văn C,0901234567,"123 Đường ABC, TP.HCM",hcm,COD payment,"[{""productId"":10,""quantity"":1}]",COD,,true,,200,true,PENDING,,Payment request created,Tạo thanh toán COD thành công
P-002,PAYMENT_CREATE,Create bank transfer payment,EP_DECISION_TABLE,Nguyễn Văn C,0812345678,"123 Đường ABC, TP.HCM",hcm,Bank transfer payment,"[{""productId"":10,""quantity"":1}]",BANK_TRANSFER,,true,,200,true,PENDING,,Payment request created,Tạo thanh toán BANK_TRANSFER thành công
P-003,PAYMENT_CREATE,Create VNPAY payment,EP_DECISION_TABLE,Nguyễn Văn C,0901234567,"123 Đường ABC, TP.HCM",hcm,VNPAY payment,"[{""productId"":10,""quantity"":1}]",VNPAY,,true,,200,true,PENDING,,Payment request created,Tạo thanh toán VNPAY thành công
P-004,PAYMENT_CREATE,Reject unsupported payment method,EP,Nguyễn Văn C,0901234567,"123 Đường ABC, TP.HCM",hcm,Unsupported payment method,"[{""productId"":10,""quantity"":1}]",BITCOIN,,true,,400,false,,,payment,Từ chối phương thức thanh toán không được hỗ trợ
P-005,PAYMENT_CREATE,Reject missing payment method,EP,Nguyễn Văn C,0901234567,"123 Đường ABC, TP.HCM",hcm,Missing payment method,"[{""productId"":10,""quantity"":1}]",,,true,paymentMethod,400,false,,,payment,Từ chối khi không gửi paymentMethod
P-006,PAYMENT_CREATE,Reject unknown order,EP,,,,,Unknown order,[],COD,999999999,false,,404,false,,,order,Từ chối thanh toán cho orderId không tồn tại
S-001,ORDER_STATUS,Get status of newly created order,STATE_TRANSITION,Nguyễn Văn C,0901234567,"123 Đường ABC, TP.HCM",hcm,Check pending order,"[{""productId"":10,""quantity"":1}]",COD,,true,,200,true,,PENDING,PENDING,Đơn mới tạo có trạng thái PENDING
S-002,ORDER_STATUS,Reject unknown order status lookup,EP,,,,,Unknown order status,[],,999999999,false,,404,false,,,order,Từ chối truy vấn orderId không tồn tại
